Time (s),Position (mm)
0,1.71E-11
0.005,1.71E-11
0.01,1.71E-11
0.015,1.71E-11
0.02,1.71E-11
0.025,1.71E-11
0.03,1.71E-11
0.035,1.71E-11
0.04,1.71E-11
0.045,1.71E-11
0.05,1.71E-11
0.055,1.71E-11
0.06,1.71E-11
0.065,1.71E-11
0.07,1.71E-11
0.075,1.71E-11
0.08,1.71E-11
0.085,1.71E-11
0.09,1.71E-11
0.095,1.71E-11
0.1,1.71E-11
0.105,1.71E-11
0.11,1.71E-11
0.115,1.71E-11
0.12,1.71E-11
0.125,1.71E-11
0.13,1.71E-11
0.135,1.71E-11
0.14,1.71E-11
0.145,1.71E-11
0.15,1.71E-11
0.155,1.71E-11
0.16,1.71E-11
0.165,1.71E-11
0.17,1.71E-11
0.175,1.71E-11
0.18,1.71E-11
0.185,1.71E-11
0.19,1.71E-11
0.195,1.71E-11
0.2,1.71E-11
0.205,1.71E-11
0.21,1.71E-11
0.215,1.71E-11
0.22,1.71E-11
0.225,1.71E-11
0.23,1.71E-11
0.235,1.71E-11
0.24,1.71E-11
0.245,1.71E-11
0.25,1.71E-11
0.255,1.71E-11
0.26,1.71E-11
0.265,1.71E-11
0.27,6.68E-06
0.275,0.000161
0.28,0.001178
0.285,0.004338
0.29,0.01086
0.295,0.021559
0.3,0.036713
0.305,0.055968
0.31,0.078488
0.315,0.103229
0.32,0.12912
0.325,0.155314
0.33,0.181305
0.335,0.206932
0.34,0.232223
0.345,0.257273
0.35,0.282215
0.355,0.307122
0.36,0.332084
0.365,0.357158
0.37,0.382286
0.375,0.407454
0.38,0.432633
0.385,0.457783
0.39,0.482841
0.395,0.507797
0.4,0.53269
0.405,0.557584
0.41,0.582616
0.415,0.607858
0.42,0.633169
0.425,0.658371
0.43,0.683388
0.435,0.708237
0.44,0.733109
0.445,0.758124
0.45,0.783177
0.455,0.808189
0.46,0.833149
0.465,0.85808
0.47,0.883037
0.475,0.908063
0.48,0.933108
0.485,0.958118
0.49,0.983099
0.495,1.008155
0.5,1.033353
0.505,1.058557
0.51,1.083618
0.515,1.108556
0.52,1.133442
0.525,1.158293
0.53,1.18314
0.535,1.208014
0.54,1.23293
0.545,1.257922
0.55,1.283036
0.555,1.308259
0.56,1.333519
0.565,1.358712
0.57,1.383705
0.575,1.408575
0.58,1.433493
0.585,1.458475
0.59,1.483475
0.595,1.508435
0.6,1.533294
0.605,1.558182
0.61,1.583253
0.615,1.608409
0.62,1.633449
0.625,1.658355
0.63,1.68319
0.635,1.707886
0.64,1.732049
0.645,1.755046
0.65,1.776231
0.655,1.795003
0.66,1.811035
0.665,1.824355
0.67,1.835334
0.675,1.844696
0.68,1.853254
0.685,1.86159
0.69,1.870014
0.695,1.878694
0.7,1.887708
0.705,1.89699
0.71,1.906386
0.715,1.915773
0.72,1.925067
0.725,1.934188
0.73,1.943143
0.735,1.952054
0.74,1.961086
0.745,1.970306
0.75,1.979598
0.755,1.988625
0.76,1.996878
0.765,2.004091
0.77,2.010346
0.775,2.015895
0.78,2.02103
0.785,2.025977
0.79,2.030893
0.795,2.035908
0.8,2.04108
0.805,2.046381
0.81,2.051762
0.815,2.057163
0.82,2.062541
0.825,2.067907
0.83,2.073269
0.835,2.0786
0.84,2.083883
0.845,2.089095
