"Time (s)","Position (mm)"
0,4.74E-12
0.005,4.74E-12
0.01,4.74E-12
0.015,4.74E-12
0.02,4.74E-12
0.025,4.74E-12
0.03,4.74E-12
0.035,4.74E-12
0.04,4.74E-12
0.045,4.74E-12
0.05,4.74E-12
0.055,4.74E-12
0.06,4.74E-12
0.065,4.74E-12
0.07,4.74E-12
0.075,4.74E-12
0.08,4.74E-12
0.085,4.74E-12
0.09,4.74E-12
0.095,4.74E-12
0.1,4.74E-12
0.105,4.74E-12
0.11,4.74E-12
0.115,4.74E-12
0.12,4.74E-12
0.125,4.74E-12
0.13,4.74E-12
0.135,4.74E-12
0.14,4.74E-12
0.145,4.74E-12
0.15,4.74E-12
0.155,4.74E-12
0.16,4.74E-12
0.165,4.74E-12
0.17,4.74E-12
0.175,4.74E-12
0.18,4.74E-12
0.185,4.74E-12
0.19,4.74E-12
0.195,1.81E-05
0.2,0.000238
0.205,0.001402
0.21,0.004914
0.215,0.012133
0.22,0.023841
0.225,0.040086
0.23,0.060376
0.235,0.083799
0.24,0.109105
0.245,0.135286
0.25,0.161646
0.255,0.187705
0.26,0.213363
0.265,0.238645
0.27,0.263629
0.275,0.28852
0.28,0.313508
0.285,0.33859
0.29,0.363712
0.295,0.388829
0.3,0.413921
0.305,0.439025
0.31,0.464128
0.315,0.489172
0.32,0.51415
0.325,0.539088
0.33,0.564015
0.335,0.588963
0.34,0.613982
0.345,0.639074
0.35,0.664198
0.355,0.689316
0.36,0.714452
0.365,0.739704
0.37,0.765019
0.375,0.790205
0.38,0.815192
0.385,0.840131
0.39,0.865088
0.395,0.890042
0.4,0.914931
0.405,0.939789
0.41,0.964752
0.415,0.989794
0.42,1.014773
0.425,1.03972
0.43,1.064704
0.435,1.089789
0.44,1.114981
0.445,1.140113
0.45,1.165177
0.455,1.190292
0.46,1.215316
0.465,1.240151
0.47,1.264939
0.475,1.289756
0.48,1.314644
0.485,1.339686
0.49,1.364829
0.495,1.389976
0.5,1.415102
0.505,1.440084
0.51,1.464993
0.515,1.490031
0.52,1.51506
0.525,1.540031
0.53,1.565072
0.535,1.590083
0.54,1.615015
0.545,1.640022
0.55,1.665121
0.555,1.690171
0.56,1.715094
0.565,1.739975
0.57,1.76498
0.575,1.790087
0.58,1.815042
0.585,1.839489
0.59,1.86285
0.595,1.884385
0.6,1.903566
0.605,1.920168
0.61,1.934275
0.615,1.946324
0.62,1.957056
0.625,1.967194
0.63,1.977016
0.635,1.986258
0.64,1.994336
0.645,2.00066
0.65,2.005009
0.655,2.00762
0.66,2.009001
0.665,2.009729
0.67,2.010275
0.675,2.010935
0.68,2.011827
0.685,2.012948
0.69,2.014218
0.695,2.015547
0.7,2.01687
0.705,2.018159
0.71,2.019422
0.715,2.020666
0.72,2.021926
