Time_s,depth_mm
0,6.820192138
0.008794308,6.837667994
0.017719746,6.846166409
0.026618719,6.856039864
0.03682518,6.862428567
0.079628229,6.855146337
0.088649511,6.855660115
0.097705126,6.858015541
0.109326363,6.863560366
0.148897648,6.880115398
0.157891035,6.879996258
0.166992664,6.87884709
0.178562403,6.878598889
0.217334747,6.889092838
0.226753473,6.891075971
0.235962152,6.891559964
0.246700048,6.891718817
0.282727718,6.891545067
0.291889906,6.894305067
0.301183701,6.897812157
0.31193018,6.901145497
0.346529484,6.905220967
0.355621815,6.904637691
0.364703894,6.904181003
0.376297474,6.90495787
0.422490835,6.915121719
0.431675434,6.91656625
0.440868139,6.916692838
0.450598955,6.916576185
0.486684084,6.919164924
0.495762348,6.920338909
0.504894972,6.921870314
0.517999649,6.922922687
0.549497128,6.926576206
0.558633804,6.928144852
0.567501545,6.929296493
0.577949286,6.930904852
0.615095139,6.943017066
0.624081612,6.948467575
0.633290291,6.952562901
0.643170834,6.953957782
0.681968212,6.958177209
0.6909163,6.958892033
0.699834347,6.9592966
0.709386826,6.960036241
0.748830557,6.961895274
0.75771451,6.96311642
0.767075062,6.963821309
0.778249025,6.964878642
0.81648159,6.967147216
0.825740814,6.968281488
0.83489418,6.96838822
0.846120358,6.968760521
0.886179686,6.971125875
0.895094395,6.971887861
0.904164553,6.972150943
0.914499998,6.97304695
0.953189373,6.976146986
0.9621737,6.976094864
0.971039772,6.976665732
0.980199337,6.977050441
1.019488573,6.979718606
1.028610706,6.980465696
1.037638187,6.980847933
1.047037363,6.981627273
1.087299585,6.984106807
1.096520901,6.984431961
1.105535269,6.984623065
1.115613222,6.985027631
1.15647769,6.986983459
1.165351391,6.987536957
1.17447567,6.988236886
1.185804605,6.987800054
1.224955082,6.99008847
1.234104633,6.990810743
1.243522882,6.991262455
1.253258944,6.991475918
1.292987823,6.993632785
1.301968098,6.993774255
1.310986042,6.994183796
1.324712992,6.994583387
1.365343094,6.996444907
1.374367714,6.997196942
1.38361454,6.997234168
1.395596743,6.996534255
1.437136173,6.998904584
1.446289063,6.999098176
1.455359459,6.999621882
1.466189384,6.999954454
1.50806284,7.002029437
1.517489195,7.001416384
1.526605368,7.001964907
1.538543701,7.00278396
1.581181049,7.003727129
1.590309858,7.00424586
1.599299431,7.004638017
1.609752655,7.004412176
1.654251099,7.00623644
1.663320303,7.007045573
1.67245698,7.007864656
1.684381962,7.007060469
1.726244211,7.008837587
1.735417843,7.009679
1.744708538,7.009810548
1.755979538,7.010386376
1.794465065,7.011982312
1.8034513,7.012749243
1.812553167,7.012580469
1.824826002,7.012496097
1.864026785,7.014156563
1.873185635,7.014930927
1.882115602,7.015370261
1.892561674,7.015571286
1.938932896,7.017216885
1.948002815,7.016829673
1.95704031,7.017095258
1.966729403,7.017802634
2.01138401,7.019003924
2.020468712,7.019525142
2.029432297,7.020460878
2.049861431,7.020302025
2.088018179,7.020823243
2.096856594,7.021247651
2.10570693,7.022208204
2.116831779,7.022592928
2.173551559,7.024032498
2.182685137,7.024332821
2.191832304,7.024240985
2.202050209,7.023632877
2.241885185,7.025171715
2.251272678,7.025298318
2.260564327,7.025831945
2.271379232,7.026134756
2.31030345,7.028577049
2.319365025,7.028713573
2.328488827,7.027571838
2.337609529,7.027968971
2.379142523,7.029947113
2.388236523,7.029547522
2.397331953,7.029904942
2.409904957,7.029847845
2.451140165,7.031416476
2.460312605,7.031525695
2.469371557,7.031744103
2.481271982,7.032064267
2.52214098,7.033136497
2.531386614,7.033665178
2.540624142,7.033640361
2.551539421,7.034392396
2.59230566,7.034675365
2.601235628,7.035149437
2.610336542,7.03507001
2.621063709,7.035645838
2.675372839,7.036576568
2.684417725,7.036827257
2.693595648,7.037350963
2.705903769,7.037686053
2.745922565,7.037944175
2.755048037,7.038616783
2.764059544,7.038892289
2.774011374,7.039669171
2.818478584,7.040160597
2.827568054,7.041024339
2.836544514,7.041404088
2.846700191,7.041272539
2.891083717,7.041860776
2.900133371,7.042118927
2.909301043,7.042317494
2.919222593,7.042923084
2.963112116,7.0437074
2.972200632,7.044169063
2.981276274,7.04443216
2.995003939,7.044692769
3.036022425,7.044831751
3.045051575,7.045072518
3.054134607,7.045134561
3.063431263,7.045797249
3.108444214,7.047100325
3.117485046,7.046971264
3.126534224,7.04710527
3.135694504,7.04697621
3.178809404,7.048048439
3.188253164,7.048184963
3.197486877,7.048979199
3.208912134,7.048840217
3.247437477,7.049406124
3.256517649,7.049634454
3.265713692,7.050264891
3.276923656,7.050274812
3.316450596,7.050542884
3.325722218,7.05100206
3.334914207,7.051411572
3.346355438,7.05121798
3.385765791,7.052697264
3.395259619,7.052315027
3.404632568,7.052454038
3.414569378,7.051895564
3.4556036,7.053280525
3.464666605,7.053005019
3.473808527,7.05343689
3.485771894,7.053335134
3.526384115,7.054432181
3.535463095,7.05496335
3.54435873,7.055194167
3.553962231,7.054998088
3.596599579,7.055814683
3.605644226,7.055365428
3.614812136,7.055901543
3.623911858,7.056432682
3.666009188,7.057154955
3.675524712,7.056598999
3.684711456,7.056931571
3.697840691,7.057554576
3.736859083,7.05814527
3.746019363,7.058299178
3.755154133,7.058125428
3.766561985,7.057986447
3.806821585,7.05907603
3.815988779,7.059004067
3.825098991,7.059905034
3.835472584,7.059857858
3.876996517,7.060875508
3.886032581,7.060930087
3.895433187,7.0605156
3.90935874,7.060954934
3.949333906,7.061014489
3.958506107,7.061431464
3.967773438,7.061632518
3.977322578,7.061997371
4.020539045,7.062228188
4.029448748,7.062575687
4.03848362,7.062751894
4.049810648,7.062709693
4.092724562,7.06375216
4.101702213,7.064067378
4.110824108,7.063429478
4.12136364,7.064047507
4.161314487,7.064680432
4.17054677,7.064499249
4.17953968,7.06480203
4.191166401,7.064461994
4.227966309,7.065611192
4.237352848,7.065779966
4.246551275,7.065492052
4.257211208,7.066159715
4.294293165,7.065998374
4.303563118,7.06642527
4.312726974,7.066978769
4.325508356,7.067105342
4.361223459,7.066976281
4.370736837,7.067993901
4.380002022,7.067701041
4.389992237,7.06750745
4.427862167,7.067554597
4.437057495,7.06819993
4.446105242,7.068812984
4.457027435,7.068170138
4.49445796,7.069366452
4.503706217,7.069565019
4.51264596,7.069202654
4.523826361,7.069244855
4.562064171,7.070096188
4.571431398,7.070470962
4.580789089,7.070699321
4.591834545,7.07062484
