t_rel_s,lvdt_v,lvdt_mm,state
0.000000,7.515620,14.336548,idle
0.003449,7.515620,14.336548,idle
0.006865,7.515620,14.336548,idle
0.010378,7.515620,14.336548,idle
0.013520,7.515620,14.336548,idle
0.016606,7.515620,14.336548,idle
0.019727,7.514060,14.333411,idle
0.022991,7.514060,14.333411,idle
0.026362,7.514060,14.333411,idle
0.029761,7.514060,14.333411,idle
0.033156,7.514060,14.333411,idle
0.036610,7.514060,14.333411,idle
0.040021,7.514060,14.333411,idle
0.043429,7.513120,14.331520,idle
0.046843,7.513120,14.331520,idle
0.050328,7.513120,14.331520,idle
0.053735,7.513120,14.331520,idle
0.057110,7.513120,14.331520,idle
0.060501,7.513120,14.331520,idle
0.063898,7.512810,14.330896,idle
0.067325,7.512810,14.330896,idle
0.070706,7.512810,14.330896,idle
0.074111,7.512810,14.330896,idle
0.077483,7.512810,14.330896,idle
0.080964,7.512810,14.330896,idle
0.084395,7.512810,14.330896,idle
0.087828,7.512810,14.330896,idle
0.091284,7.512810,14.330896,idle
0.094622,7.512810,14.330896,idle
0.097860,7.512810,14.330896,idle
0.101124,7.512810,14.330896,idle
0.104467,7.512810,14.330896,idle
0.107867,7.512810,14.330896,idle
0.111264,7.513430,14.332143,idle
0.114690,7.513430,14.332143,idle
0.118069,7.513430,14.332143,idle
0.121490,7.513430,14.332143,idle
0.125063,7.513430,14.332143,idle
0.128803,7.513430,14.332143,idle
0.132511,7.514370,14.334034,idle
0.135423,7.514370,14.334034,idle
0.138165,7.514370,14.334034,idle
0.140980,7.514370,14.334034,idle
0.143689,7.514370,14.334034,idle
0.146457,7.514370,14.334034,idle
0.149262,7.514370,14.334034,idle
0.151985,7.514370,14.334034,idle
0.154917,7.514370,14.334034,idle
0.158106,7.514370,14.334034,idle
0.161330,7.514370,14.334034,idle
0.164605,7.514370,14.334034,idle
0.167906,7.514370,14.334034,idle
0.171566,7.514370,14.334034,idle
0.175285,7.514370,14.334034,idle
0.178806,7.514060,14.333411,idle
0.182180,7.514060,14.333411,idle
0.185571,7.514060,14.333411,idle
0.188977,7.514060,14.333411,idle
0.192401,7.514060,14.333411,idle
0.195852,7.514060,14.333411,idle
0.199234,7.514060,14.333411,idle
0.202633,7.513120,14.331520,idle
0.206044,7.513120,14.331520,idle
0.209425,7.513120,14.331520,idle
0.212791,7.513120,14.331520,idle
0.216293,7.513120,14.331520,idle
0.219884,7.513120,14.331520,idle
0.223523,7.512810,14.330896,idle
0.227203,7.512810,14.330896,idle
0.230554,7.512810,14.330896,idle
0.233821,7.512810,14.330896,idle
0.237206,7.512810,14.330896,idle
0.240566,7.512810,14.330896,idle
0.243989,7.512810,14.330896,idle
0.247482,7.512180,14.329629,idle
0.250836,7.512180,14.329629,idle
0.254036,7.512180,14.329629,idle
0.257273,7.512180,14.329629,idle
0.260467,7.512180,14.329629,idle
0.263649,7.512180,14.329629,idle
0.266884,7.512180,14.329629,idle
0.270182,7.512810,14.330896,idle
0.273591,7.512810,14.330896,idle
0.277017,7.512810,14.330896,idle
0.280443,7.512810,14.330896,idle
0.283902,7.512810,14.330896,idle
0.287289,7.512810,14.330896,idle
0.290699,7.512810,14.330896,idle
0.294118,7.513750,14.332787,idle
0.297540,7.513750,14.332787,idle
0.301066,7.513750,14.332787,idle
0.304461,7.513750,14.332787,idle
0.307858,7.513750,14.332787,idle
0.311297,7.513750,14.332787,idle
0.314736,7.513430,14.332143,idle
0.318115,7.513430,14.332143,idle
0.321518,7.513430,14.332143,idle
0.324885,7.513430,14.332143,idle
0.328275,7.513430,14.332143,idle
0.331703,7.513430,14.332143,idle
0.335103,7.513430,14.332143,idle
0.338496,7.513750,14.332787,idle
0.341893,7.513750,14.332787,idle
0.345304,7.513750,14.332787,idle
0.348692,7.513750,14.332787,idle
0.352087,7.513750,14.332787,idle
0.355453,7.513750,14.332787,idle
0.358815,7.513750,14.332787,idle
0.362301,7.513750,14.332787,idle
0.365871,7.513750,14.332787,idle
0.369548,7.513750,14.332787,idle
0.373321,7.513750,14.332787,idle
0.376836,7.513750,14.332787,idle
0.380304,7.513750,14.332787,idle
0.383714,7.513120,14.331520,idle
0.387088,7.513120,14.331520,idle
0.390810,7.513120,14.331520,idle
0.394514,7.513120,14.331520,idle
0.397450,7.513120,14.331520,idle
0.400225,7.513120,14.331520,idle
0.403035,7.513120,14.331520,idle
0.406186,7.512180,14.329629,idle
0.409557,7.512180,14.329629,idle
0.413018,7.512180,14.329629,idle
0.416575,7.512180,14.329629,idle
0.420027,7.512180,14.329629,idle
0.423404,7.512180,14.329629,idle
0.426805,7.512180,14.329629,idle
0.430237,7.512500,14.330273,idle
0.433693,7.512500,14.330273,idle
0.437172,7.512500,14.330273,idle
0.440582,7.512500,14.330273,idle
0.444600,7.512500,14.330273,idle
0.448548,7.512500,14.330273,idle
0.451950,7.513750,14.332787,idle
0.455321,7.513750,14.332787,idle
0.458843,7.513750,14.332787,idle
0.462494,7.513750,14.332787,idle
0.466110,7.513750,14.332787,idle
0.469825,7.513750,14.332787,idle
0.473212,7.514060,14.333411,idle
0.476586,7.514060,14.333411,idle
0.480003,7.514060,14.333411,idle
0.483643,7.514060,14.333411,idle
0.487258,7.514060,14.333411,idle
0.490864,7.514060,14.333411,idle
0.494321,7.514060,14.333411,idle
0.497731,7.514370,14.334034,idle
0.501128,7.514370,14.334034,idle
0.504488,7.514370,14.334034,idle
0.507854,7.514370,14.334034,idle
0.511348,7.514370,14.334034,idle
0.514984,7.514370,14.334034,idle
0.518604,7.514370,14.334034,idle
0.522248,7.514680,14.334658,idle
0.525860,7.514680,14.334658,idle
0.529489,7.514680,14.334658,idle
0.533100,7.514680,14.334658,idle
0.536704,7.514680,14.334658,idle
0.540336,7.514680,14.334658,idle
0.543949,7.514370,14.334034,idle
0.547558,7.514370,14.334034,idle
0.551190,7.514370,14.334034,idle
0.554801,7.514370,14.334034,idle
0.558406,7.514370,14.334034,idle
0.562033,7.514370,14.334034,idle
0.565627,7.513120,14.331520,idle
0.569421,7.513120,14.331520,idle
0.573091,7.513120,14.331520,idle
0.576699,7.513120,14.331520,idle
0.580131,7.513120,14.331520,idle
0.583551,7.513120,14.331520,idle
0.587080,7.512500,14.330273,idle
0.590693,7.512500,14.330273,idle
0.594387,7.512500,14.330273,idle
0.597891,7.512500,14.330273,idle
0.601251,7.512500,14.330273,idle
0.604630,7.512500,14.330273,idle
0.607991,7.512500,14.330273,idle
0.611353,7.513120,14.331520,idle
0.614784,7.513120,14.331520,idle
0.618291,7.513120,14.331520,idle
0.621900,7.513120,14.331520,idle
0.625552,7.513120,14.331520,idle
0.629101,7.513120,14.331520,idle
0.632462,7.511190,14.327638,idle
0.635971,7.513750,14.332787,idle
0.639400,7.513750,14.332787,idle
0.642777,7.513750,14.332787,idle
0.646162,7.513750,14.332787,idle
0.649519,7.513750,14.332787,idle
0.652875,7.513750,14.332787,idle
0.656308,7.514370,14.334034,idle
0.659793,7.514370,14.334034,idle
0.663398,7.514370,14.334034,idle
0.667059,7.514370,14.334034,idle
0.670550,7.514370,14.334034,idle
0.673911,7.514370,14.334034,idle
0.677285,7.514370,14.334034,idle
0.680656,7.514680,14.334658,idle
0.684036,7.514680,14.334658,idle
0.687459,7.514680,14.334658,idle
0.690941,7.514680,14.334658,idle
0.694562,7.514680,14.334658,idle
0.698252,7.514680,14.334658,idle
0.701750,7.514060,14.333411,idle
0.705107,7.514060,14.333411,idle
0.708479,7.514060,14.333411,idle
0.711881,7.514060,14.333411,idle
0.715235,7.514060,14.333411,idle
0.718586,7.514060,14.333411,idle
0.722184,7.514060,14.333411,idle
0.725873,7.513120,14.331520,idle
0.729575,7.513120,14.331520,idle
0.733011,7.513120,14.331520,idle
0.736186,7.513120,14.331520,idle
0.739372,7.513120,14.331520,idle
0.742804,7.513120,14.331520,idle
0.746329,7.512500,14.330273,idle
0.749752,7.512500,14.330273,idle
0.752913,7.512500,14.330273,idle
0.756006,7.512500,14.330273,idle
0.759154,7.512500,14.330273,idle
0.762355,7.512500,14.330273,idle
0.765564,7.512500,14.330273,idle
0.769103,7.512500,14.330273,idle
0.772430,7.512500,14.330273,idle
0.775692,7.512500,14.330273,idle
0.779306,7.512500,14.330273,idle
0.782719,7.512500,14.330273,idle
0.785830,7.512500,14.330273,idle
0.788697,7.512500,14.330273,idle
0.791613,7.511190,14.327638,idle
0.794688,7.513750,14.332787,idle
0.797863,7.513750,14.332787,idle
0.801091,7.513750,14.332787,idle
0.804489,7.513750,14.332787,idle
0.808096,7.513750,14.332787,idle
0.811758,7.513750,14.332787,idle
0.815268,7.515310,14.335925,idle
0.818652,7.515310,14.335925,idle
0.822016,7.515310,14.335925,idle
0.825400,7.515310,14.335925,idle
0.828816,7.515310,14.335925,idle
0.832268,7.515310,14.335925,idle
0.835794,7.515310,14.335925,idle
0.839552,7.515930,14.337172,idle
0.843344,7.515930,14.337172,idle
0.846876,7.515930,14.337172,idle
0.850254,7.515930,14.337172,idle
0.853631,7.515930,14.337172,idle
0.857066,7.515930,14.337172,idle
0.860434,7.514370,14.334034,idle
0.863865,7.514370,14.334034,idle
0.867364,7.514370,14.334034,idle
0.870977,7.514370,14.334034,idle
0.874659,7.514370,14.334034,idle
0.878160,7.514370,14.334034,idle
0.881545,7.514370,14.334034,idle
0.884977,7.513430,14.332143,idle
0.888385,7.513430,14.332143,idle
0.891763,7.513430,14.332143,idle
0.895293,7.513430,14.332143,idle
0.898715,7.513430,14.332143,idle
0.902084,7.513430,14.332143,idle
0.905532,7.512500,14.330273,idle
0.909030,7.512500,14.330273,idle
0.912652,7.512500,14.330273,idle
0.916324,7.512500,14.330273,idle
0.919827,7.512500,14.330273,idle
0.923203,7.512500,14.330273,idle
0.926625,7.512500,14.330273,idle
0.930116,7.512810,14.330896,idle
0.933731,7.512810,14.330896,idle
0.937396,7.512810,14.330896,idle
0.940893,7.512810,14.330896,idle
0.944290,7.512810,14.330896,idle
0.948325,7.512810,14.330896,idle
0.952284,7.514060,14.333411,idle
0.955699,7.514060,14.333411,idle
0.959150,7.514060,14.333411,idle
0.962579,7.514060,14.333411,idle
0.965956,7.514060,14.333411,idle
0.969344,7.514060,14.333411,idle
0.972705,7.514060,14.333411,idle
0.976244,7.515930,14.337172,idle
0.980141,7.515930,14.337172,idle
0.983664,7.515930,14.337172,idle
0.987108,7.515930,14.337172,idle
0.990670,7.515930,14.337172,idle
0.993959,7.515930,14.337172,idle
0.996718,7.513120,14.331520,idle
0.999334,7.513120,14.331520,idle
1.002012,7.513120,14.331520,idle
1.004772,7.513120,14.331520,idle
1.007525,7.513120,14.331520,idle
1.010331,7.513120,14.331520,idle
1.013680,7.513120,14.331520,idle
1.017309,7.513120,14.331520,idle
1.021019,7.514370,14.334034,idle
1.024486,7.514370,14.334034,idle
1.027855,7.514370,14.334034,idle
1.031255,7.514370,14.334034,idle
1.034657,7.514370,14.334034,idle
1.038146,7.514370,14.334034,idle
1.041595,7.514370,14.334034,idle
1.045023,7.512500,14.330273,idle
1.048389,7.512500,14.330273,idle
1.051777,7.512500,14.330273,idle
1.055140,7.512500,14.330273,idle
1.058502,7.512500,14.330273,idle
1.061937,7.512500,14.330273,idle
1.065459,7.512500,14.330273,idle
1.069066,7.513120,14.331520,idle
1.072728,7.513120,14.331520,idle
1.076180,7.513120,14.331520,idle
