t_rel_s,lvdt_v,lvdt_mm,state
0.000000,6.442810,12.178690,lowering
0.002717,6.442810,12.178690,lowering
0.005437,6.442810,12.178690,lowering
0.008251,6.442810,12.178690,lowering
0.011362,6.442810,12.178690,lowering
0.014159,6.442810,12.178690,lowering
0.017127,6.442810,12.178690,lowering
0.019994,6.442810,12.178690,lowering
0.023774,6.442810,12.178690,lowering
0.026429,6.443430,12.179937,lowering
0.029289,6.443430,12.179937,lowering
0.032172,6.443430,12.179937,lowering
0.034912,6.443430,12.179937,lowering
0.037525,6.443430,12.179937,lowering
0.040224,6.443430,12.179937,lowering
0.043123,6.443430,12.179937,lowering
0.045821,6.443430,12.179937,lowering
0.048408,6.441190,12.175432,lowering
0.050891,6.443750,12.180581,lowering
0.053462,6.443750,12.180581,lowering
0.055973,6.443750,12.180581,lowering
0.058606,6.443750,12.180581,lowering
0.061774,6.443750,12.180581,lowering
0.064915,6.443750,12.180581,lowering
0.068031,6.443750,12.180581,lowering
0.071148,6.443750,12.180581,lowering
0.074261,6.444680,12.182452,lowering
0.077236,6.444680,12.182452,lowering
0.080212,6.444680,12.182452,lowering
0.083233,6.444680,12.182452,lowering
0.086406,6.444680,12.182452,lowering
0.089830,6.444680,12.182452,lowering
0.092879,6.444680,12.182452,lowering
0.095927,6.444060,12.181205,lowering
0.098842,6.444060,12.181205,lowering
0.101771,6.444060,12.181205,lowering
0.104690,6.444060,12.181205,lowering
0.107699,6.444060,12.181205,lowering
0.110638,6.444060,12.181205,lowering
0.113636,6.444060,12.181205,lowering
0.116644,6.444060,12.181205,lowering
0.119638,6.445650,12.184403,lowering
0.122587,6.444370,12.181828,lowering
0.125505,6.444370,12.181828,lowering
0.128449,6.444370,12.181828,lowering
0.131758,6.444370,12.181828,lowering
0.134853,6.444370,12.181828,lowering
0.138831,6.444370,12.181828,lowering
0.141897,6.443750,12.180581,lowering
0.144978,6.443750,12.180581,lowering
0.148111,6.443750,12.180581,lowering
0.151190,6.443750,12.180581,lowering
0.154435,6.443750,12.180581,lowering
0.157429,6.443750,12.180581,lowering
0.160417,6.443750,12.180581,lowering
0.163303,6.444060,12.181205,lowering
0.166321,6.444060,12.181205,lowering
0.169438,6.444060,12.181205,lowering
0.172731,6.444060,12.181205,lowering
0.175918,6.444060,12.181205,lowering
0.179111,6.444060,12.181205,lowering
0.182313,6.444060,12.181205,lowering
0.185604,6.443750,12.180581,lowering
0.188732,6.443750,12.180581,lowering
0.191794,6.443750,12.180581,lowering
0.194751,6.443750,12.180581,lowering
0.197618,6.443750,12.180581,lowering
0.200513,6.443750,12.180581,lowering
0.203410,6.443750,12.180581,lowering
0.206196,6.443750,12.180581,lowering
0.209002,6.444370,12.181828,lowering
0.211879,6.444370,12.181828,lowering
0.214651,6.444370,12.181828,lowering
0.217467,6.444370,12.181828,lowering
0.220286,6.444370,12.181828,lowering
0.223145,6.444370,12.181828,lowering
0.226063,6.444370,12.181828,lowering
0.228891,6.444370,12.181828,lowering
0.231765,6.444370,12.181828,lowering
0.234585,6.444370,12.181828,lowering
0.237403,6.444370,12.181828,lowering
0.240173,6.444370,12.181828,lowering
0.243009,6.444370,12.181828,lowering
0.245800,6.444370,12.181828,lowering
0.248539,6.444370,12.181828,lowering
0.251238,6.444370,12.181828,lowering
0.253942,6.444370,12.181828,lowering
0.256693,6.444680,12.182452,lowering
0.259526,6.444680,12.182452,lowering
0.262299,6.444680,12.182452,lowering
0.265165,6.444680,12.182452,lowering
0.268011,6.444680,12.182452,lowering
0.270777,6.444680,12.182452,lowering
0.273471,6.444680,12.182452,lowering
0.276202,6.444680,12.182452,lowering
0.278902,6.444680,12.182452,lowering
0.281650,6.444680,12.182452,lowering
0.284364,6.444680,12.182452,lowering
0.287150,6.444680,12.182452,lowering
0.289917,6.444680,12.182452,lowering
0.292630,6.444680,12.182452,lowering
0.295276,6.444680,12.182452,lowering
0.297952,6.444680,12.182452,lowering
0.300635,6.445000,12.183095,lowering
0.303171,6.445000,12.183095,lowering
0.305650,6.445000,12.183095,lowering
0.308158,6.445000,12.183095,lowering
0.310627,6.445000,12.183095,lowering
0.313098,6.445000,12.183095,lowering
0.315585,6.445000,12.183095,lowering
0.318094,6.445000,12.183095,lowering
0.320579,6.445000,12.183095,lowering
0.323071,6.445000,12.183095,lowering
0.325573,6.444680,12.182452,lowering
0.328087,6.444680,12.182452,lowering
