t_rel_s,lvdt_v,lvdt_mm,state
0.000000,6.046870,11.382294,lowering
0.003664,6.047180,11.382917,lowering
0.007372,6.047180,11.382917,lowering
0.010909,6.047180,11.382917,lowering
0.014321,6.047180,11.382917,lowering
0.017743,6.047180,11.382917,lowering
0.021968,6.047180,11.382917,lowering
0.025920,6.046870,11.382294,lowering
0.029444,6.046870,11.382294,lowering
0.032855,6.046870,11.382294,lowering
0.036261,6.046870,11.382294,lowering
0.039737,6.046870,11.382294,lowering
0.043195,6.046870,11.382294,lowering
0.046649,6.046870,11.382294,lowering
0.050122,6.046870,11.382294,lowering
0.053524,6.046870,11.382294,lowering
0.056942,6.046870,11.382294,lowering
0.060439,6.046870,11.382294,lowering
0.064015,6.046870,11.382294,lowering
0.067708,6.046870,11.382294,lowering
0.071485,6.046870,11.382294,lowering
0.074996,6.046870,11.382294,lowering
0.078479,6.046870,11.382294,lowering
0.081914,6.046870,11.382294,lowering
0.085351,6.046870,11.382294,lowering
0.088754,6.046870,11.382294,lowering
0.092219,6.046870,11.382294,lowering
0.095779,6.046870,11.382294,lowering
0.099474,6.046870,11.382294,lowering
0.103189,6.046870,11.382294,lowering
0.106688,6.046870,11.382294,lowering
0.110088,6.046870,11.382294,lowering
0.113505,6.046870,11.382294,lowering
0.116902,6.047180,11.382917,lowering
0.120304,6.047180,11.382917,lowering
0.123862,6.047180,11.382917,lowering
0.127506,6.047180,11.382917,lowering
0.131181,6.047180,11.382917,lowering
0.134905,6.047180,11.382917,lowering
0.138400,6.046870,11.382294,lowering
0.141795,6.046870,11.382294,lowering
0.145215,6.046870,11.382294,lowering
0.148640,6.046870,11.382294,lowering
0.152045,6.046870,11.382294,lowering
0.155502,6.046870,11.382294,lowering
0.159057,6.046870,11.382294,lowering
0.162723,6.046870,11.382294,lowering
0.166437,6.046870,11.382294,lowering
0.169930,6.046870,11.382294,lowering
0.173368,6.046870,11.382294,lowering
0.176793,6.046870,11.382294,lowering
0.180195,6.046870,11.382294,lowering
0.183596,6.047180,11.382917,lowering
0.187051,6.047180,11.382917,lowering
0.190606,6.047180,11.382917,lowering
0.194254,6.047180,11.382917,lowering
0.197959,6.047180,11.382917,lowering
0.201490,6.047180,11.382917,lowering
0.204888,6.047180,11.382917,lowering
0.208308,6.047180,11.382917,lowering
0.211707,6.047180,11.382917,lowering
0.215104,6.047180,11.382917,lowering
0.218576,6.047180,11.382917,lowering
0.222144,6.047180,11.382917,lowering
0.225811,6.047180,11.382917,lowering
0.229546,6.046870,11.382294,lowering
0.233040,6.046870,11.382294,lowering
0.236441,6.046870,11.382294,lowering
0.240029,6.046870,11.382294,lowering
0.243504,6.046870,11.382294,lowering
0.246974,6.046870,11.382294,lowering
0.250458,6.046870,11.382294,lowering
0.253864,6.046870,11.382294,lowering
0.257294,6.046870,11.382294,lowering
0.260765,6.046870,11.382294,lowering
0.264332,6.046870,11.382294,lowering
0.267987,6.046870,11.382294,lowering
0.271698,6.046870,11.382294,lowering
0.275193,6.047180,11.382917,lowering
0.278599,6.047180,11.382917,lowering
0.282041,6.047180,11.382917,lowering
0.285451,6.047180,11.382917,lowering
0.288853,6.047180,11.382917,lowering
