Time (s),Position (mm)
0.00,8.8975
0.06,8.8962
0.11,8.8881
0.16,8.8888
0.21,8.8949
0.27,8.8962
0.33,9.4978
0.38,10.6855
0.43,10.9279
0.48,11.2099
0.53,11.4274
0.59,11.5369
0.65,11.6510
0.70,11.7013
0.79,11.8001
0.84,11.8806
0.89,11.9095
0.95,11.9330
1.00,11.9666
1.05,12.0109
1.12,12.0565
1.18,12.0720
1.23,12.0894
1.28,12.1217
1.33,12.1337
1.40,12.1485
1.45,12.1781
1.50,12.1915
1.55,12.2204
1.60,12.2338
1.66,12.2472
1.72,12.2660
1.77,12.2848
1.84,12.2929
1.89,12.3036
1.94,12.3170
2.01,12.3285
2.06,12.3385
2.11,12.3526
2.17,12.3674
2.22,12.3674
2.27,12.3788
2.35,12.3909
2.41,12.3996
2.46,12.4097
2.52,12.4191
2.57,12.4251
2.63,12.4305
2.69,12.4406
2.74,12.4406
2.79,12.4493
2.86,12.4520
2.91,12.4553
2.96,12.4614
3.02,12.4668
3.07,12.4674
3.12,12.4728
3.20,12.4829
3.25,12.4809
3.30,12.4856
3.37,12.4929
3.42,12.4909
3.47,12.4956
3.53,12.5044
3.58,12.5010
3.63,12.5044
3.69,12.5117
3.74,12.5111
3.80,12.5144
3.87,12.5212
3.92,12.5205
3.97,12.5225
4.04,12.5285
4.10,12.5279
4.15,12.5312
4.22,12.5400
4.27,12.5373
4.32,12.5406
4.39,12.5487
4.44,12.5493
4.49,12.5500
4.54,12.5527
4.61,12.5601
4.66,12.5608
4.71,12.5628
4.78,12.5695
4.83,12.5681
4.88,12.5722
4.93,12.5809
4.98,12.5809
5.04,12.5829
5.09,12.5856
5.16,12.5923
5.22,12.5930
5.27,12.5950
5.35,12.6017
5.40,12.6017
5.45,12.6037
5.52,12.6105
5.57,12.6084
5.62,12.6118
5.70,12.6178
5.75,12.6158
5.80,12.6172
5.87,12.6219
5.92,12.6205
5.97,12.6239
6.05,12.6319
6.10,12.6292
6.15,12.6299
6.22,12.6360
6.27,12.6326
6.32,12.6366
6.40,12.6393
6.45,12.6373
6.50,12.6386
6.57,12.6420
6.62,12.6407
6.67,12.6427
6.75,12.6494
6.80,12.6454
6.85,12.6467
6.91,12.6514
6.97,12.6494
7.02,12.6521
7.10,12.6548
7.15,12.6554
7.20,12.6554
7.27,12.6615
7.32,12.6581
7.37,12.6601
7.42,12.6655
7.48,12.6655
7.53,12.6628
7.58,12.6675
7.65,12.6695
7.70,12.6662
7.75,12.6675
7.81,12.6695
7.87,12.6695
7.92,12.6716
7.98,12.6742
8.04,12.6736
8.09,12.6776
8.16,12.6803
8.21,12.6769
8.27,12.6830
8.32,12.6830
8.38,12.6803
8.43,12.6823
8.50,12.6904
8.55,12.6850
8.60,12.6863
8.67,12.6883
8.72,12.6890
8.77,12.6904
8.84,12.6984
8.89,12.6944
8.94,12.6957
9.01,12.7011
9.06,12.6991
9.11,12.7004
9.17,12.7058
9.22,12.7044
9.28,12.7058
9.34,12.7132
9.39,12.7078
9.44,12.7092
9.51,12.7138
9.56,12.7112
9.61,12.7132
9.68,12.7179
9.73,12.7152
9.78,12.7165
9.86,12.7206
9.91,12.7179
9.96,12.7192
10.02,12.7259
10.07,12.7192
10.12,12.7212
10.20,12.7206
10.25,12.7239
10.30,12.7246
10.36,12.7326
10.41,12.7253
10.46,12.7266
10.53,12.7320
10.58,12.7273
10.63,12.7286
10.69,12.7340
10.74,12.7300
10.80,12.7300
10.88,12.7347
10.93,12.7313
10.98,12.7326
11.04,12.7400
11.09,12.7333
11.15,12.7340
11.22,12.7360
11.28,12.7360
11.33,12.7367
11.39,12.7427
11.44,12.7373
11.49,12.7373
11.56,12.7414
11.61,12.7387
11.66,12.7400
11.72,12.7441
11.77,12.7407
11.82,12.7420
11.89,12.7501
11.95,12.7420
12.00,12.7427
12.07,12.7468
12.12,12.7454
12.17,12.7441
12.24,12.7528
12.29,12.7447
12.34,12.7454
12.41,12.7481
12.46,12.7468
12.51,12.7474
12.57,12.7535
12.62,12.7481
12.68,12.7487
12.73,12.7575
12.79,12.7494
12.84,12.7501
12.91,12.7521
12.96,12.7508
13.01,12.7514
13.07,12.7514
13.12,12.7521
13.17,12.7528
13.24,12.7615
13.29,12.7535
13.34,12.7535
13.41,12.7568
13.46,12.7548
13.51,12.7555
13.57,12.7602
13.62,12.7561
13.67,12.7561
13.73,12.7649
13.79,12.7561
13.84,12.7568
13.91,12.7608
13.96,12.7575
14.01,12.7582
14.08,12.7629
14.13,12.7582
14.18,12.7588
14.25,12.7615
14.30,12.7602
14.35,12.7608
14.42,12.7669
14.47,12.7608
14.53,12.7615
14.59,12.7682
14.64,12.7622
14.69,12.7642
14.76,12.7642
14.81,12.7629
14.86,12.7635
14.92,12.7696
14.98,12.7642
15.03,12.7642
15.08,12.7696
15.14,12.7649
15.19,12.7649
15.26,12.7716
15.31,12.7656
15.36,12.7675
15.42,12.7702
15.47,12.7662
15.52,12.7669
15.59,12.7736
15.65,12.7669
15.70,12.7675
15.76,12.7736
15.81,12.7682
15.86,12.7696
15.93,12.7723
15.98,12.7689
16.03,12.7689
16.11,12.7736
16.16,12.7669
