t_rel_s,lvdt_v,lvdt_mm,state
0.000000,2.407500,4.062037,idle
0.003715,2.407500,4.062037,idle
0.008213,2.407500,4.062037,idle
0.012994,2.407500,4.062037,idle
0.017038,2.408180,4.063405,idle
0.020415,2.405620,4.058256,idle
0.023570,2.405620,4.058256,idle
0.026702,2.405620,4.058256,idle
0.029873,2.405620,4.058256,idle
0.033175,2.405620,4.058256,idle
0.036135,2.405620,4.058256,idle
0.039139,2.405620,4.058256,idle
0.042393,2.404680,4.056365,idle
0.045704,2.404680,4.056365,idle
0.049268,2.404680,4.056365,idle
0.053172,2.404680,4.056365,idle
0.057331,2.404680,4.056365,idle
0.062184,2.404680,4.056365,idle
0.066287,2.403750,4.054495,idle
0.070647,2.403750,4.054495,idle
0.074343,2.403750,4.054495,idle
0.077793,2.403750,4.054495,idle
0.081298,2.403750,4.054495,idle
0.084673,2.403750,4.054495,idle
0.088030,2.403750,4.054495,idle
0.091412,2.394060,4.035004,idle
0.094804,2.394060,4.035004,idle
0.097647,2.394060,4.035004,idle
0.100591,2.394060,4.035004,idle
0.104321,2.394060,4.035004,idle
0.108264,2.394060,4.035004,idle
0.112212,2.395310,4.037518,idle
0.116928,2.395310,4.037518,idle
0.121810,2.395310,4.037518,idle
0.126676,2.395310,4.037518,idle
0.131530,2.395310,4.037518,idle
0.136425,2.395000,4.036895,idle
0.141281,2.395000,4.036895,idle
0.146138,2.395000,4.036895,idle
0.150993,2.395000,4.036895,idle
0.155897,2.395000,4.036895,idle
0.160753,2.393750,4.034381,idle
0.166154,2.393750,4.034381,idle
0.171483,2.393750,4.034381,idle
0.176583,2.393750,4.034381,idle
0.180253,2.393750,4.034381,idle
0.183915,2.390000,4.026838,idle
0.187401,2.390000,4.026838,idle
0.190383,2.390000,4.026838,idle
0.193339,2.390000,4.026838,idle
0.196315,2.390000,4.026838,idle
0.199317,2.390000,4.026838,idle
0.202287,2.390000,4.026838,idle
0.205548,2.390000,4.026838,idle
0.208481,2.384060,4.014890,idle
0.211339,2.384060,4.014890,idle
0.214204,2.384060,4.014890,idle
0.217146,2.384060,4.014890,idle
0.221467,2.384060,4.014890,idle
0.226042,2.384060,4.014890,idle
0.230536,2.384060,4.014890,idle
0.235130,2.388430,4.023680,idle
0.239610,2.388430,4.023680,idle
0.244126,2.388430,4.023680,idle
0.248646,2.388430,4.023680,idle
0.253121,2.388430,4.023680,idle
0.257680,2.383750,4.014267,idle
0.262173,2.383750,4.014267,idle
0.266663,2.383750,4.014267,idle
0.270750,2.383750,4.014267,idle
0.274038,2.383750,4.014267,idle
0.277174,2.383750,4.014267,idle
0.280348,2.375620,3.997914,idle
0.283296,2.375620,3.997914,idle
0.286311,2.375620,3.997914,idle
0.289247,2.375620,3.997914,idle
0.292213,2.375620,3.997914,idle
0.295436,2.375620,3.997914,idle
0.298309,2.375620,3.997914,idle
0.301598,2.375620,3.997914,idle
0.304797,2.366560,3.979690,idle
0.307947,2.366560,3.979690,idle
0.311828,2.366560,3.979690,idle
0.316080,2.366560,3.979690,idle
0.320289,2.366560,3.979690,idle
0.324764,2.366560,3.979690,idle
0.329289,2.368120,3.982828,idle
0.333819,2.368120,3.982828,idle
0.338381,2.368120,3.982828,idle
0.342796,2.368120,3.982828,idle
0.347157,2.368120,3.982828,idle
0.351430,2.364370,3.975285,idle
0.355891,2.364370,3.975285,idle
0.360454,2.364370,3.975285,idle
0.364954,2.364370,3.975285,idle
0.369464,2.364370,3.975285,idle
0.373967,2.359370,3.965228,idle
