t_rel_s,lvdt_v,lvdt_mm,state
0.000000,8.684060,16.686757,lowering
0.003832,8.684060,16.686757,lowering
0.007087,8.684060,16.686757,lowering
0.010226,8.682810,16.684243,lowering
0.013397,8.682810,16.684243,lowering
0.016393,8.682810,16.684243,lowering
0.019363,8.682810,16.684243,lowering
0.022339,8.682810,16.684243,lowering
0.025316,8.682810,16.684243,lowering
0.028295,8.682810,16.684243,lowering
0.031335,8.682810,16.684243,lowering
0.034358,8.678750,16.676077,lowering
0.037391,8.678750,16.676077,lowering
0.040432,8.678750,16.676077,lowering
0.044340,8.678750,16.676077,lowering
0.049157,8.678750,16.676077,lowering
0.053828,8.678750,16.676077,lowering
0.058559,8.683750,16.686134,lowering
0.062388,8.683750,16.686134,lowering
0.066007,8.683750,16.686134,lowering
0.069337,8.683750,16.686134,lowering
0.072628,8.683750,16.686134,lowering
0.075797,8.683750,16.686134,lowering
0.078762,8.683750,16.686134,lowering
0.081736,8.680930,16.680462,lowering
0.084703,8.680930,16.680462,lowering
0.087664,8.680930,16.680462,lowering
0.090481,8.680930,16.680462,lowering
0.093329,8.680930,16.680462,lowering
0.096421,8.680930,16.680462,lowering
0.099679,8.680930,16.680462,lowering
0.102932,8.683750,16.686134,lowering
0.106627,8.683750,16.686134,lowering
0.111490,8.683750,16.686134,lowering
0.116346,8.683750,16.686134,lowering
0.120895,8.683750,16.686134,lowering
0.125516,8.683750,16.686134,lowering
0.130069,8.685000,16.688648,lowering
0.134579,8.685000,16.688648,lowering
0.139357,8.685000,16.688648,lowering
0.143645,8.685000,16.688648,lowering
0.147871,8.685000,16.688648,lowering
0.152048,8.685310,16.689272,lowering
0.155973,8.685310,16.689272,lowering
0.160191,8.685310,16.689272,lowering
0.164677,8.685310,16.689272,lowering
0.169163,8.685310,16.689272,lowering
0.173680,8.685310,16.689272,lowering
0.178222,8.686870,16.692409,lowering
0.182750,8.686870,16.692409,lowering
0.187257,8.686870,16.692409,lowering
0.191826,8.686870,16.692409,lowering
0.196369,8.686870,16.692409,lowering
0.200854,8.689060,16.696814,lowering
0.205332,8.689060,16.696814,lowering
0.209824,8.689060,16.696814,lowering
0.214484,8.689060,16.696814,lowering
0.219413,8.689060,16.696814,lowering
0.224110,8.689060,16.696814,lowering
0.228599,8.689060,16.696814,lowering
0.233273,8.689060,16.696814,lowering
0.238123,8.689060,16.696814,lowering
0.242975,8.689060,16.696814,lowering
0.247838,8.688750,16.696191,lowering
0.252797,8.688750,16.696191,lowering
0.257970,8.688750,16.696191,lowering
0.275164,8.688750,16.696191,lowering
0.278258,8.689680,16.698062,lowering
0.281234,8.689680,16.698062,lowering
0.284194,8.689680,16.698062,lowering
0.287161,8.689680,16.698062,lowering
0.290514,8.689680,16.698062,lowering
0.293381,8.686870,16.692409,lowering
0.296436,8.686870,16.692409,lowering
0.299700,8.686870,16.692409,lowering
0.302958,8.686870,16.692409,lowering
0.306275,8.686870,16.692409,lowering
0.310505,8.686870,16.692409,lowering
0.315374,8.686870,16.692409,lowering
0.320264,8.693430,16.705604,lowering
0.325120,8.693430,16.705604,lowering
0.330086,8.693430,16.705604,lowering
0.334579,8.693430,16.705604,lowering
0.339133,8.693430,16.705604,lowering
0.343923,8.693430,16.705604,lowering
0.348778,8.693430,16.705604,lowering
0.353631,8.693430,16.705604,lowering
0.358560,8.693430,16.705604,lowering
0.363260,8.693430,16.705604,lowering
0.367740,8.693430,16.705604,lowering
0.372438,8.693430,16.705604,lowering
0.377317,8.693430,16.705604,lowering
0.382184,8.693430,16.705604,lowering
0.386684,8.693430,16.705604,lowering
0.391476,8.693120,16.704981,lowering
0.395687,8.693120,16.704981,lowering
0.399860,8.693120,16.704981,lowering
0.404040,8.693120,16.704981,lowering
0.408233,8.693120,16.704981,lowering
0.412722,8.694370,16.707495,lowering
0.417571,8.694370,16.707495,lowering
0.422502,8.694370,16.707495,lowering
0.426986,8.694370,16.707495,lowering
0.431555,8.694370,16.707495,lowering
0.436315,8.695310,16.709386,lowering
0.441170,8.695310,16.709386,lowering
0.446029,8.695310,16.709386,lowering
0.450907,8.695310,16.709386,lowering
0.455999,8.695310,16.709386,lowering
0.461774,8.695620,16.710009,lowering
0.465951,8.695620,16.710009,lowering
0.469334,8.695620,16.710009,lowering
0.472739,8.695620,16.710009,lowering
0.475863,8.695620,16.710009,lowering
0.478818,8.695620,16.710009,lowering
0.481786,8.690930,16.700576,lowering
0.484756,8.690930,16.700576,lowering
0.487747,8.690930,16.700576,lowering
0.491041,8.690930,16.700576,lowering
0.493876,8.690930,16.700576,lowering
0.498267,8.690930,16.700576,lowering
0.500933,8.690930,16.700576,lowering
0.503445,8.690930,16.700576,lowering
0.506346,8.692500,16.703734,lowering
0.509151,8.692500,16.703734,lowering
0.511905,8.692500,16.703734,lowering
0.514738,8.692500,16.703734,lowering
0.517194,8.692500,16.703734,lowering
0.519684,8.692500,16.703734,lowering
0.522157,8.692500,16.703734,lowering
0.524666,8.692500,16.703734,lowering
0.527317,8.692500,16.703734,lowering
0.529971,8.691870,16.702467,lowering
0.532288,8.691870,16.702467,lowering
0.534747,8.691870,16.702467,lowering
0.537638,8.691870,16.702467,lowering
0.540519,8.691870,16.702467,lowering
