t_rel_s,lvdt_v,lvdt_mm,state
0.000000,7.112180,13.525066,lowering
0.003402,7.112180,13.525066,lowering
0.006845,7.112180,13.525066,lowering
0.010266,7.112180,13.525066,lowering
0.013667,7.112180,13.525066,lowering
0.017068,7.111250,13.523196,lowering
0.020531,7.111250,13.523196,lowering
0.024090,7.111250,13.523196,lowering
0.027753,7.111250,13.523196,lowering
0.031500,7.111250,13.523196,lowering
0.035055,7.111250,13.523196,lowering
0.038471,7.111250,13.523196,lowering
0.041899,7.109680,13.520038,lowering
0.045302,7.109680,13.520038,lowering
0.048705,7.109680,13.520038,lowering
0.052133,7.109680,13.520038,lowering
0.055561,7.109680,13.520038,lowering
0.058956,7.109680,13.520038,lowering
0.062376,7.109370,13.519414,lowering
0.065807,7.109370,13.519414,lowering
0.069236,7.109370,13.519414,lowering
0.072673,7.109370,13.519414,lowering
0.076072,7.109370,13.519414,lowering
0.079471,7.109370,13.519414,lowering
0.082923,7.109370,13.519414,lowering
0.086322,7.109370,13.519414,lowering
0.089724,7.109370,13.519414,lowering
0.093201,7.109370,13.519414,lowering
0.096767,7.109370,13.519414,lowering
0.100419,7.109370,13.519414,lowering
0.104131,7.109370,13.519414,lowering
0.107636,7.109680,13.520038,lowering
0.111033,7.109680,13.520038,lowering
0.114505,7.109680,13.520038,lowering
0.118010,7.109680,13.520038,lowering
0.121429,7.109680,13.520038,lowering
0.124951,7.109680,13.520038,lowering
0.128536,7.109680,13.520038,lowering
0.132197,7.110000,13.520681,lowering
0.135913,7.110000,13.520681,lowering
0.139427,7.110000,13.520681,lowering
0.142855,7.110000,13.520681,lowering
0.146281,7.110000,13.520681,lowering
0.149687,7.110000,13.520681,lowering
0.153091,7.110930,13.522552,lowering
0.156558,7.110930,13.522552,lowering
0.160127,7.110930,13.522552,lowering
0.163808,7.110930,13.522552,lowering
0.168618,7.110930,13.522552,lowering
0.172106,7.110930,13.522552,lowering
0.175617,7.110620,13.521928,lowering
0.179049,7.110620,13.521928,lowering
0.182464,7.110620,13.521928,lowering
0.185896,7.110620,13.521928,lowering
0.189301,7.110620,13.521928,lowering
0.192702,7.110620,13.521928,lowering
0.196171,7.110620,13.521928,lowering
0.199704,7.110620,13.521928,lowering
