t_rel_s,lvdt_v,lvdt_mm,state
0.000000,8.445620,16.207157,idle
0.002609,8.445620,16.207157,idle
0.005226,8.445620,16.207157,idle
0.007809,8.445620,16.207157,idle
0.010452,8.445620,16.207157,idle
0.013062,8.445620,16.207157,idle
0.015691,8.446870,16.209672,idle
0.018289,8.446870,16.209672,idle
0.020866,8.446870,16.209672,idle
0.023508,8.446870,16.209672,idle
0.026146,8.446870,16.209672,idle
0.028736,8.446870,16.209672,idle
0.031324,8.446870,16.209672,idle
0.033979,8.446870,16.209672,idle
0.036573,8.446870,16.209672,idle
0.039179,8.447180,16.210295,idle
0.041758,8.447180,16.210295,idle
0.044343,8.447180,16.210295,idle
0.046980,8.447180,16.210295,idle
0.049570,8.447180,16.210295,idle
0.052179,8.447180,16.210295,idle
0.054752,8.447180,16.210295,idle
0.057420,8.447180,16.210295,idle
0.060159,8.447180,16.210295,idle
0.062784,8.446870,16.209672,idle
0.065416,8.446870,16.209672,idle
0.068242,8.446870,16.209672,idle
0.070918,8.446870,16.209672,idle
0.074760,8.446870,16.209672,idle
0.077476,8.446870,16.209672,idle
0.080137,8.446870,16.209672,idle
0.082823,8.446870,16.209672,idle
0.085542,8.446870,16.209672,idle
0.088292,8.446560,16.209048,idle
0.090910,8.446560,16.209048,idle
0.093518,8.446560,16.209048,idle
0.096164,8.446560,16.209048,idle
0.098807,8.446560,16.209048,idle
0.101409,8.446560,16.209048,idle
0.104028,8.446560,16.209048,idle
0.106615,8.446560,16.209048,idle
0.109261,8.447180,16.210295,idle
0.111868,8.447180,16.210295,idle
0.114477,8.447180,16.210295,idle
0.117075,8.447180,16.210295,idle
0.119705,8.447180,16.210295,idle
0.122346,8.447180,16.210295,idle
0.125077,8.447180,16.210295,idle
0.127803,8.447180,16.210295,idle
0.130621,8.447180,16.210295,idle
0.133444,8.446250,16.208425,idle
0.136251,8.446250,16.208425,idle
0.138917,8.446250,16.208425,idle
0.141559,8.446250,16.208425,idle
0.144178,8.446250,16.208425,idle
0.146777,8.446250,16.208425,idle
0.149371,8.446250,16.208425,idle
0.152019,8.446250,16.208425,idle
0.154640,8.446250,16.208425,idle
0.157248,8.446870,16.209672,idle
0.159848,8.446870,16.209672,idle
0.162478,8.446870,16.209672,idle
0.165072,8.446870,16.209672,idle
0.167693,8.446870,16.209672,idle
0.170350,8.446870,16.209672,idle
0.173004,8.446870,16.209672,idle
0.175603,8.446870,16.209672,idle
0.178194,8.446870,16.209672,idle
0.180755,8.446870,16.209672,idle
0.183396,8.446870,16.209672,idle
0.186001,8.446870,16.209672,idle
0.188598,8.446870,16.209672,idle
0.191173,8.446870,16.209672,idle
0.193800,8.446870,16.209672,idle
0.196392,8.446870,16.209672,idle
0.198986,8.446870,16.209672,idle
0.201586,8.446870,16.209672,idle
0.204237,8.446870,16.209672,idle
0.206826,8.446870,16.209672,idle
0.209449,8.446870,16.209672,idle
0.212078,8.446870,16.209672,idle
0.214711,8.446870,16.209672,idle
