t_rel_s,lvdt_v,lvdt_mm,state
0.000000,0.379680,-0.016735,lowering
0.003621,0.379680,-0.016735,lowering
0.007248,0.379680,-0.016735,lowering
0.012116,0.379680,-0.016735,lowering
0.015687,0.380000,-0.016091,lowering
0.018883,0.380000,-0.016091,lowering
0.022055,0.380000,-0.016091,lowering
0.025359,0.380000,-0.016091,lowering
0.028726,0.380000,-0.016091,lowering
0.032085,0.380000,-0.016091,lowering
0.035520,0.380000,-0.016091,lowering
0.039051,0.380000,-0.016091,lowering
0.042671,0.380000,-0.016091,lowering
0.046334,0.380000,-0.016091,lowering
0.049782,0.380000,-0.016091,lowering
0.053152,0.380000,-0.016091,lowering
0.056568,0.380000,-0.016091,lowering
0.060081,0.378120,-0.019873,lowering
0.063695,0.378120,-0.019873,lowering
0.067319,0.378120,-0.019873,lowering
0.070919,0.378120,-0.019873,lowering
0.074517,0.378120,-0.019873,lowering
0.078141,0.378120,-0.019873,lowering
0.081782,0.378120,-0.019873,lowering
0.085398,0.378120,-0.019873,lowering
0.089023,0.378120,-0.019873,lowering
0.092615,0.378120,-0.019873,lowering
0.096203,0.378120,-0.019873,lowering
0.099834,0.378120,-0.019873,lowering
0.103447,0.378120,-0.019873,lowering
0.107049,0.379370,-0.017358,lowering
0.110669,0.379370,-0.017358,lowering
0.115314,0.379370,-0.017358,lowering
0.118968,0.379370,-0.017358,lowering
0.122694,0.379370,-0.017358,lowering
0.126066,0.379370,-0.017358,lowering
0.129440,0.379680,-0.016735,lowering
0.132843,0.379680,-0.016735,lowering
0.136264,0.379680,-0.016735,lowering
0.140493,0.379680,-0.016735,lowering
0.144289,0.379680,-0.016735,lowering
0.147522,0.379680,-0.016735,lowering
0.150768,0.379060,-0.017982,lowering
0.154046,0.379060,-0.017982,lowering
0.157407,0.379060,-0.017982,lowering
0.160787,0.379060,-0.017982,lowering
0.164148,0.379060,-0.017982,lowering
0.167503,0.379060,-0.017982,lowering
0.170927,0.379060,-0.017982,lowering
0.174460,0.376870,-0.022387,lowering
0.178085,0.376870,-0.022387,lowering
0.181761,0.376870,-0.022387,lowering
0.185258,0.376870,-0.022387,lowering
0.188620,0.376870,-0.022387,lowering
0.192002,0.376870,-0.022387,lowering
0.195362,0.376870,-0.022387,lowering
0.198722,0.382180,-0.011706,lowering
0.202139,0.382180,-0.011706,lowering
0.205622,0.382180,-0.011706,lowering
0.209231,0.382180,-0.011706,lowering
0.212902,0.382180,-0.011706,lowering
0.216950,0.382180,-0.011706,lowering
0.220968,0.380000,-0.016091,lowering
0.224271,0.380000,-0.016091,lowering
0.227675,0.380000,-0.016091,lowering
0.231047,0.380000,-0.016091,lowering
0.234488,0.380000,-0.016091,lowering
0.238024,0.380000,-0.016091,lowering
0.241645,0.378430,-0.019249,lowering
0.245307,0.378430,-0.019249,lowering
0.248755,0.378430,-0.019249,lowering
0.252122,0.378430,-0.019249,lowering
0.255536,0.378430,-0.019249,lowering
0.259051,0.378430,-0.019249,lowering
0.262664,0.378430,-0.019249,lowering
0.266325,0.378750,-0.018606,lowering
0.269772,0.378750,-0.018606,lowering
0.274521,0.378750,-0.018606,lowering
0.278877,0.378750,-0.018606,lowering
0.282282,0.378750,-0.018606,lowering
0.285708,0.378750,-0.018606,lowering
0.289084,0.380000,-0.016091,lowering
0.292437,0.380000,-0.016091,lowering
0.295862,0.380000,-0.016091,lowering
0.299345,0.380000,-0.016091,lowering
0.302968,0.380000,-0.016091,lowering
0.306627,0.380000,-0.016091,lowering
0.310123,0.382810,-0.010439,lowering
0.313492,0.382810,-0.010439,lowering
0.316907,0.382810,-0.010439,lowering
0.320410,0.382810,-0.010439,lowering
0.324083,0.382810,-0.010439,lowering
0.327753,0.382810,-0.010439,lowering
0.331351,0.382810,-0.010439,lowering
0.334861,0.381870,-0.012330,lowering
0.338296,0.381870,-0.012330,lowering
0.341668,0.381870,-0.012330,lowering
0.345032,0.381870,-0.012330,lowering
0.348465,0.381870,-0.012330,lowering
0.351946,0.381870,-0.012330,lowering
0.355565,0.382180,-0.011706,lowering
0.359190,0.382180,-0.011706,lowering
0.362783,0.382180,-0.011706,lowering
0.366378,0.382180,-0.011706,lowering
0.369994,0.382180,-0.011706,lowering
0.373588,0.382180,-0.011706,lowering
0.377177,0.382180,-0.011706,lowering
0.380791,0.381560,-0.012953,lowering
0.384387,0.381560,-0.012953,lowering
0.387977,0.381560,-0.012953,lowering
0.391589,0.381560,-0.012953,lowering
0.395182,0.381560,-0.012953,lowering
0.398775,0.381560,-0.012953,lowering
0.402391,0.381250,-0.013577,lowering
0.405995,0.381250,-0.013577,lowering
0.409589,0.381250,-0.013577,lowering
0.413242,0.381250,-0.013577,lowering
0.416729,0.381250,-0.013577,lowering
0.420376,0.381250,-0.013577,lowering
0.423847,0.381250,-0.013577,lowering
0.427368,0.381250,-0.013577,lowering
0.430971,0.381250,-0.013577,lowering
0.434640,0.381250,-0.013577,lowering
0.438087,0.381250,-0.013577,lowering
0.441440,0.381250,-0.013577,lowering
0.444847,0.381250,-0.013577,lowering
0.448383,0.381560,-0.012953,lowering
0.452003,0.381560,-0.012953,lowering
0.455707,0.381560,-0.012953,lowering
0.459154,0.381560,-0.012953,lowering
0.462549,0.381560,-0.012953,lowering
0.465924,0.381560,-0.012953,lowering
0.469284,0.381870,-0.012330,lowering
0.472645,0.381870,-0.012330,lowering
0.476101,0.381870,-0.012330,lowering
0.479631,0.381870,-0.012330,lowering
0.483246,0.381870,-0.012330,lowering
0.486909,0.381870,-0.012330,lowering
0.490355,0.381870,-0.012330,lowering
0.493724,0.381870,-0.012330,lowering
0.497136,0.381870,-0.012330,lowering
0.500649,0.381870,-0.012330,lowering
0.504261,0.381870,-0.012330,lowering
0.507970,0.381870,-0.012330,lowering
0.511429,0.381870,-0.012330,lowering
0.514796,0.381560,-0.012953,lowering
0.518208,0.381560,-0.012953,lowering
0.521765,0.381560,-0.012953,lowering
0.525419,0.381560,-0.012953,lowering
0.529103,0.381560,-0.012953,lowering
0.532550,0.381560,-0.012953,lowering
0.536113,0.381560,-0.012953,lowering
0.539548,0.381560,-0.012953,lowering
0.542958,0.381560,-0.012953,lowering
0.546330,0.381560,-0.012953,lowering
0.549762,0.381560,-0.012953,lowering
0.553278,0.381560,-0.012953,lowering
0.556893,0.381560,-0.012953,lowering
0.560519,0.381560,-0.012953,lowering
0.564107,0.381560,-0.012953,lowering
0.567699,0.381560,-0.012953,lowering
0.571314,0.381560,-0.012953,lowering
0.574909,0.381560,-0.012953,lowering
0.578506,0.381560,-0.012953,lowering
0.582132,0.381560,-0.012953,lowering
0.585761,0.381560,-0.012953,lowering
0.589377,0.381560,-0.012953,lowering
0.593000,0.381560,-0.012953,lowering
0.596593,0.381560,-0.012953,lowering
0.600180,0.381560,-0.012953,lowering
0.603793,0.381560,-0.012953,lowering
0.607383,0.381560,-0.012953,lowering
0.611091,0.381560,-0.012953,lowering
0.614824,0.381560,-0.012953,lowering
0.618247,0.381560,-0.012953,lowering
0.621671,0.381560,-0.012953,lowering
0.625080,0.381560,-0.012953,lowering
0.628484,0.381560,-0.012953,lowering
0.631859,0.381560,-0.012953,lowering
0.635299,0.381560,-0.012953,lowering
