t_rel_s,lvdt_v,lvdt_mm,state
0.000000,0.420620,0.065612,lowering
0.003472,0.420620,0.065612,lowering
0.006750,0.420620,0.065612,lowering
0.009961,0.420620,0.065612,lowering
0.013365,0.421250,0.066879,lowering
0.016817,0.421250,0.066879,lowering
0.020249,0.421250,0.066879,lowering
0.023715,0.421250,0.066879,lowering
0.027024,0.421250,0.066879,lowering
0.030287,0.421250,0.066879,lowering
0.033572,0.421250,0.066879,lowering
0.036439,0.420620,0.065612,lowering
0.039022,0.420620,0.065612,lowering
0.041596,0.420620,0.065612,lowering
0.044196,0.420620,0.065612,lowering
0.047590,0.420620,0.065612,lowering
0.051256,0.420620,0.065612,lowering
0.054900,0.420620,0.065612,lowering
0.058798,0.420620,0.065612,lowering
0.062259,0.420620,0.065612,lowering
0.065739,0.420620,0.065612,lowering
0.069018,0.420620,0.065612,lowering
0.072210,0.420620,0.065612,lowering
0.075459,0.420620,0.065612,lowering
0.078896,0.420620,0.065612,lowering
0.082592,0.420930,0.066236,lowering
0.086302,0.420930,0.066236,lowering
0.089851,0.420930,0.066236,lowering
0.093289,0.420930,0.066236,lowering
0.096709,0.420930,0.066236,lowering
0.100101,0.420930,0.066236,lowering
0.103488,0.420930,0.066236,lowering
0.106924,0.420930,0.066236,lowering
0.110429,0.420930,0.066236,lowering
0.114133,0.420930,0.066236,lowering
0.117994,0.420930,0.066236,lowering
0.121289,0.420930,0.066236,lowering
0.124201,0.420930,0.066236,lowering
0.127079,0.420620,0.065612,lowering
0.130007,0.420620,0.065612,lowering
0.133105,0.420620,0.065612,lowering
0.136291,0.420620,0.065612,lowering
0.139603,0.420620,0.065612,lowering
0.143142,0.420620,0.065612,lowering
0.146676,0.420620,0.065612,lowering
0.150131,0.420930,0.066236,lowering
0.153429,0.420930,0.066236,lowering
0.156734,0.420930,0.066236,lowering
0.159878,0.420930,0.066236,lowering
0.163021,0.420930,0.066236,lowering
0.166168,0.420930,0.066236,lowering
0.169233,0.420930,0.066236,lowering
0.172468,0.420930,0.066236,lowering
0.175534,0.420930,0.066236,lowering
0.178680,0.420930,0.066236,lowering
0.181840,0.420930,0.066236,lowering
0.185117,0.420930,0.066236,lowering
0.188562,0.420930,0.066236,lowering
0.192062,0.420930,0.066236,lowering
0.195708,0.420930,0.066236,lowering
0.198981,0.420930,0.066236,lowering
0.202178,0.420930,0.066236,lowering
0.205550,0.420930,0.066236,lowering
0.208822,0.420930,0.066236,lowering
0.212065,0.420930,0.066236,lowering
0.215431,0.420930,0.066236,lowering
0.218006,0.420620,0.065612,lowering
0.220378,0.420620,0.065612,lowering
0.222732,0.420620,0.065612,lowering
0.225422,0.420620,0.065612,lowering
0.228329,0.420620,0.065612,lowering
0.231283,0.420620,0.065612,lowering
0.234291,0.420620,0.065612,lowering
0.237756,0.420620,0.065612,lowering
0.241423,0.420930,0.066236,lowering
0.245258,0.420930,0.066236,lowering
0.248678,0.420930,0.066236,lowering
0.252208,0.420930,0.066236,lowering
0.255707,0.420930,0.066236,lowering
0.258942,0.420930,0.066236,lowering
0.262120,0.420620,0.065612,lowering
0.265358,0.420620,0.065612,lowering
0.268543,0.420620,0.065612,lowering
0.271723,0.420620,0.065612,lowering
0.274957,0.420620,0.065612,lowering
0.278391,0.420620,0.065612,lowering
