t_rel_s,lvdt_v,lvdt_mm,state
0.000000,0.718750,0.665273,lowering
0.004519,0.718750,0.665273,lowering
0.009003,0.718750,0.665273,lowering
0.013491,0.718750,0.665273,lowering
0.018035,0.718750,0.665273,lowering
0.022528,0.718430,0.664629,lowering
0.027443,0.718430,0.664629,lowering
0.031709,0.718430,0.664629,lowering
0.035892,0.718430,0.664629,lowering
0.040457,0.718430,0.664629,lowering
0.045308,0.718430,0.664629,lowering
0.049752,0.718430,0.664629,lowering
0.053611,0.718430,0.664629,lowering
0.067561,0.715620,0.658977,lowering
0.070678,0.715620,0.658977,lowering
0.073651,0.715620,0.658977,lowering
0.076666,0.715620,0.658977,lowering
0.079744,0.715620,0.658977,lowering
0.083655,0.715620,0.658977,lowering
0.086956,0.715620,0.658977,lowering
0.090110,0.714060,0.655840,lowering
0.093354,0.714060,0.655840,lowering
0.096626,0.714060,0.655840,lowering
0.099872,0.714060,0.655840,lowering
0.102879,0.714060,0.655840,lowering
0.105859,0.714060,0.655840,lowering
0.108840,0.714060,0.655840,lowering
0.111805,0.714060,0.655840,lowering
0.114783,0.713430,0.654572,lowering
0.117880,0.713430,0.654572,lowering
0.120804,0.713430,0.654572,lowering
0.124037,0.713430,0.654572,lowering
0.127323,0.713430,0.654572,lowering
0.130654,0.713430,0.654572,lowering
0.135212,0.713430,0.654572,lowering
0.140071,0.718430,0.664629,lowering
0.144882,0.718430,0.664629,lowering
0.149371,0.718430,0.664629,lowering
0.154001,0.718430,0.664629,lowering
0.158842,0.718430,0.664629,lowering
0.163704,0.718750,0.665273,lowering
0.168564,0.718750,0.665273,lowering
0.173452,0.718750,0.665273,lowering
0.178314,0.718750,0.665273,lowering
0.183181,0.718750,0.665273,lowering
0.187774,0.718430,0.664629,lowering
0.192377,0.718430,0.664629,lowering
0.196887,0.718430,0.664629,lowering
0.201350,0.718430,0.664629,lowering
0.206007,0.718430,0.664629,lowering
0.210507,0.718430,0.664629,lowering
0.215030,0.718430,0.664629,lowering
0.219059,0.718430,0.664629,lowering
0.223030,0.718430,0.664629,lowering
0.227553,0.718430,0.664629,lowering
0.232401,0.718430,0.664629,lowering
0.237279,0.718430,0.664629,lowering
0.242179,0.718430,0.664629,lowering
0.247077,0.718430,0.664629,lowering
0.252797,0.718430,0.664629,lowering
0.256699,0.718120,0.664006,lowering
0.262716,0.718120,0.664006,lowering
0.266091,0.718120,0.664006,lowering
0.269392,0.718120,0.664006,lowering
0.272528,0.718120,0.664006,lowering
0.275692,0.718120,0.664006,lowering
0.279028,0.718120,0.664006,lowering
0.282029,0.714060,0.655840,lowering
0.285224,0.714060,0.655840,lowering
0.288336,0.714060,0.655840,lowering
0.291667,0.714060,0.655840,lowering
0.294502,0.714060,0.655840,lowering
0.297420,0.714060,0.655840,lowering
0.301282,0.714060,0.655840,lowering
0.305233,0.717500,0.662759,lowering
0.309413,0.717500,0.662759,lowering
0.313901,0.717500,0.662759,lowering
0.318439,0.717500,0.662759,lowering
0.322918,0.717500,0.662759,lowering
0.327480,0.718430,0.664629,lowering
0.332010,0.718430,0.664629,lowering
0.336562,0.718430,0.664629,lowering
0.341097,0.718430,0.664629,lowering
0.345567,0.718430,0.664629,lowering
0.350078,0.718430,0.664629,lowering
0.354562,0.718430,0.664629,lowering
0.359149,0.718430,0.664629,lowering
0.363886,0.718430,0.664629,lowering
0.368799,0.718430,0.664629,lowering
0.373714,0.718430,0.664629,lowering
0.378563,0.718120,0.664006,lowering
0.383469,0.718120,0.664006,lowering
0.388333,0.718120,0.664006,lowering
0.393283,0.718120,0.664006,lowering
0.397526,0.718120,0.664006,lowering
